name,online_order,rate,votes,location,cuisines,approx_cost(for two people),Cluster
Gama Gama,Yes,3.9,264,Banashankari,South Indian,200.0,2
The Vintage Cafe,Yes,3.0,62,Banashankari,"Cafe, French, North Indian",400.0,0
Pizza Hut,Yes,3.8,693,Banashankari,"Pizza, Fast Food",750.0,2
Mangalore Pearl,Yes,3.8,242,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",650.0,2
Asha Sweets Centre,Yes,3.6,27,Basavanagudi,Fast Food,250.0,2
Twiststick House,Yes,4.1,163,Basavanagudi,"Continental, Fast Food, Street Food, Momos",500.0,2
Cool Corner,Yes,4.2,191,Basavanagudi,"Street Food, Fast Food",250.0,2
Pizza Mane,Yes,3.5,32,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150.0,0
Dal Tadkaa,Yes,2.5,247,Banashankari,North Indian,500.0,0
Chutney Chang,Yes,4.1,2339,Jayanagar,"North Indian, Chinese, BBQ",1500.0,4
Mystique Palate,Yes,4.1,337,Jayanagar,"Chinese, Fast Food",300.0,2
Thamboola,Yes,3.9,135,Banashankari,"North Indian, Chinese, Continental",800.0,2
Castle Rock,Yes,3.6,172,Uttarahalli,"North Indian, Chinese",700.0,2
Vietnamese Kitchen,Yes,3.6,105,Banashankari,Vietnamese,700.0,2
Smacznego,Yes,4.2,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0,2
C Corner,Yes,3.2,36,Kumaraswamy Layout,"Fast Food, Street Food",200.0,0
Paratha Merchant,Yes,3.1,39,Kumaraswamy Layout,North Indian,300.0,0
North Rasoe,Yes,3.1,5,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",500.0,0
Toscano,Yes,4.3,1129,Jayanagar,"Italian, Salad",1300.0,1
Lord Of The Kitchen,Yes,3.9,56,Kumaraswamy Layout,"North Indian, Chinese",350.0,2
Stoned Monkey,Yes,4.3,860,Banashankari,"Desserts, Ice Cream",500.0,2
Central Jail Restaurant,Yes,3.8,412,Jayanagar,"Andhra, Seafood, North Indian, Chinese",700.0,2
Bella,Yes,3.9,142,Jayanagar,"Mangalorean, Seafood, South Indian",1000.0,2
Vennela Andhra Meals,Yes,3.0,23,Jayanagar,Andhra,400.0,0
New Prashanth Hotel,Yes,3.6,143,Jayanagar,"South Indian, Biryani, Chinese, North Indian",750.0,2
The Grillo,Yes,2.8,80,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,0
Re Malnad Nati Style Hotel,Yes,3.6,16,JP Nagar,South Indian,400.0,2
Karma Kaapi,Yes,4.4,181,Jayanagar,"Beverages, Tea",250.0,2
Tiwari's,Yes,3.8,70,Jayanagar,"North Indian, Street Food",200.0,2
Pizza Stop,Yes,3.8,164,Basavanagudi,"Pizza, Italian",600.0,2
Biggies Burger 'n' More,Yes,3.6,58,Kumaraswamy Layout,"Cafe, Burger, Beverages",650.0,2
Srinathji's Cafe,No,3.8,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550.0,2
Kollapuri's,No,3.9,206,Basavanagudi,"South Indian, Mangalorean",450.0,2
Kadamba Classic,No,3.6,16,Mysore Road,South Indian,300.0,2
RS Shiv Sagar,No,3.7,217,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,2
Kholi Mane,No,3.6,46,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",450.0,2
Harshi Super Sandwich,No,3.8,148,Basavanagudi,"Fast Food, Street Food",150.0,2
Cake Yard,No,3.4,30,Basavanagudi,Desserts,250.0,0
Rosewood International Hotel - Bar & Restaurant,No,3.6,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",800.0,2
Sri Udupi Veg,No,3.3,4,Jayanagar,South Indian,250.0,0
Cake Art,No,3.5,15,Basavanagudi,Bakery,400.0,0
Potato House,Yes,3.4,9,Uttarahalli,Street Food,200.0,0
Matru Sagar,Yes,3.7,31,Mysore Road,"South Indian, North Indian",300.0,2
Ugadi,Yes,2.9,177,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,0
Sri Krishna Sweets,Yes,3.7,22,Basavanagudi,"Mithai, Desserts",250.0,2
In Time Cane Juice,Yes,3.5,10,Kumaraswamy Layout,"Juices, Beverages",100.0,0
Subway,Yes,3.7,136,Banashankari,"Salad, Fast Food",600.0,2
Daal Roti,Yes,2.9,35,Kumaraswamy Layout,"North Indian, Chinese",250.0,0
The Lassi Park,Yes,4.1,185,Jayanagar,"Juices, Desserts",200.0,2
Cafe Coffee Day,Yes,3.2,17,Jayanagar,"Cafe, Fast Food",900.0,0
A2B - Adyar Ananda Bhavan,Yes,3.8,155,Mysore Road,"South Indian, North Indian, Chinese, Street Food",400.0,2
Srikrishna Bhavan,Yes,3.8,42,Banashankari,"South Indian, North Indian, Chinese",300.0,2
Timepass Dinner,Yes,3.8,286,Basavanagudi,North Indian,600.0,2
Green Gardenia,Yes,3.8,160,Banashankari,"North Indian, Chinese",700.0,2
J Spice,Yes,3.8,59,Banashankari,"North Indian, Chinese",750.0,2
Karavali Family Restaurant,Yes,3.5,90,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,0
Karavali Lunch Home,Yes,3.7,51,Kumaraswamy Layout,"South Indian, Mangalorean",350.0,2
Hatti Kaapi,Yes,4.0,89,Jayanagar,"South Indian, Beverages",200.0,2
Kolkata Kathi Roll's,Yes,3.6,18,Banashankari,"Fast Food, Rolls",250.0,2
Upahara Darshini,Yes,3.9,40,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",600.0,2
The Chaat Shop,Yes,2.5,35,Basavanagudi,Fast Food,200.0,0
Anda Ka Funda,Yes,3.4,89,Jayanagar,"North Indian, Chinese, Rolls",250.0,0
Shri Vinayaka Ice N Juice,Yes,3.2,11,Basavanagudi,"Beverages, Fast Food",150.0,0
My Tea House,Yes,3.6,62,Banashankari,"Italian, Fast Food, Cafe, European",600.0,2
Ibaco,Yes,3.9,33,Jayanagar,Desserts,300.0,2
Jalaram Sweets,Yes,3.8,32,Jayanagar,"Desserts, Mithai",250.0,2
Samskruti - Sanman Gardenia,Yes,4.1,139,Jayanagar,"North Indian, Chinese, South Indian",550.0,2
Bendakaluru Bytes,Yes,3.2,154,Vijay Nagar,Fast Food,300.0,0
Cocoa Bakes,Yes,3.6,14,Banashankari,"Bakery, Desserts",350.0,2
Chumma Delicious,Yes,3.7,237,Banashankari,"South Indian, Fast Food",200.0,2
New Prashanth Hotel,Yes,3.9,388,Banashankari,"Biryani, North Indian, Seafood, Andhra",650.0,2
Dwaraka Grand,Yes,3.9,128,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",500.0,2
Gufha - The President Hotel,Yes,4.1,1875,Jayanagar,"North Indian, Afghani, Mughlai",1200.0,4
Cafe Vivacity,Yes,3.8,90,Banashankari,Cafe,650.0,2
Tanna's Kitchen,Yes,3.1,7,Kumaraswamy Layout,"Italian, Chinese, Street Food",250.0,0
Shree Mandarathi Grand,Yes,3.7,38,Uttarahalli,"South Indian, North Indian",400.0,2
Mojo Pizza - 2X Toppings,Yes,4.2,179,Banashankari,Pizza,600.0,2
Iceberg Icecreams,Yes,4.0,43,Basavanagudi,"Desserts, Ice Cream",250.0,2
South Kitchen,Yes,4.3,275,Basavanagudi,South Indian,100.0,2
Chung Wah,Yes,3.7,323,Jayanagar,"Chinese, Thai, Momos",850.0,2
Shanthi Sagar,Yes,3.1,28,Uttarahalli,"South Indian, North Indian, Chinese",400.0,0
Millet Mama,Yes,3.9,18,Basavanagudi,"South Indian, Healthy Food",200.0,2
Bangarpet Chat Express,Yes,3.3,6,Basavanagudi,"Street Food, Fast Food",100.0,0
Prems Graama Bhojanam,Yes,4.3,322,Jayanagar,South Indian,400.0,2
Java City,Yes,2.6,157,Jayanagar,"Cafe, American, Pizza",450.0,0
Kamat Bugle Rock,Yes,3.9,543,Basavanagudi,"South Indian, Fast Food",300.0,2
Woodee Pizza,Yes,3.7,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500.0,2
Puliyogare Point,Yes,4.2,444,Basavanagudi,South Indian,100.0,2
Bangalore Agarwal Bhavan,Yes,3.9,134,Jayanagar,"Street Food, North Indian, South Indian",400.0,2
Rustic Stove,Yes,3.8,577,Jayanagar,"North Indian, South Indian, Biryani, Beverages",900.0,2
Udupi Ruchi Grand,Yes,4.2,60,Banashankari,"South Indian, North Indian, Chinese, Street Food",200.0,2
De Thaali,Yes,3.9,144,Jayanagar,"North Indian, Chinese, Rolls",550.0,2
Spice Elephant,Yes,4.1,787,Banashankari,"Chinese, North Indian, Thai",800.0,2
Just Thindi,Yes,3.6,16,Basavanagudi,South Indian,200.0,2
Matru Sagar,Yes,3.6,84,Banashankari,"South Indian, North Indian, Chinese",250.0,2
Vasanth Vihar - Since 1965,Yes,3.6,95,Banashankari,"South Indian, Street Food",150.0,2
Sea Spice by 7 Star,Yes,4.0,349,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200.0,1
Desi Dawat,Yes,3.7,248,Kumaraswamy Layout,"North Indian, Fast Food",400.0,2
Cafe Aira,Yes,4.1,216,Basavanagudi,"Cafe, Continental, Beverages, Desserts",500.0,2
Penthouse Cafe,Yes,4.0,324,Banashankari,"Cafe, Italian, Continental",700.0,2
Mast Punjabi,Yes,2.6,231,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",400.0,0
South Grand,Yes,3.4,102,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",400.0,0
Catch-up-ino,Yes,3.9,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,2
The Pizzeria,Yes,2.8,45,Banashankari,"Pizza, Italian, Salad",800.0,0
Cafe Zone,Yes,3.9,149,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",300.0,2
Ruchis Point,Yes,3.8,75,Banashankari,"Fast Food, Chinese",200.0,2
Firangi Bake,Yes,4.0,53,Rajarajeshwari Nagar,"Mexican, Italian",600.0,2
The Royal Corner - Pai Viceroy,Yes,4.2,815,Jayanagar,"North Indian, Chinese",900.0,2
Hara Fine Dine,Yes,4.0,633,Banashankari,"North Indian, Chinese",800.0,2
Chocoberry,Yes,3.5,56,Jayanagar,"Ice Cream, Desserts, Beverages",400.0,0
Dakshin Grand,Yes,3.0,82,Banashankari,"South Indian, North Indian, Chinese, Street Food",300.0,0
Sandwichwallas,Yes,3.7,35,Jayanagar,Fast Food,200.0,2
Chai Mane,Yes,3.6,20,Basavanagudi,"Juices, Fast Food",150.0,2
SLV Upachar,Yes,3.1,14,Kumaraswamy Layout,"South Indian, Chinese, Street Food",250.0,0
Waffle-A-Go Go,Yes,3.9,70,Banashankari,"Fast Food, Desserts, Ice Cream",400.0,2
Cross Road Cafe,Yes,3.9,91,Jayanagar,"Cafe, Fast Food, Chinese",300.0,2
Anand Donne Biriyani,Yes,3.6,45,Jayanagar,Biryani,200.0,2
Seven Star,Yes,3.4,7,Banashankari,"North Indian, Chinese",250.0,0
Stop 'N' Joy,Yes,3.8,28,Banashankari,Fast Food,150.0,2
Sri Yaksha Shiv Sagar,Yes,3.6,24,Banashankari,"North Indian, Chinese",600.0,2
Fudge,Yes,3.8,36,Basavanagudi,"Desserts, Momos",200.0,2
Just Bunny,Yes,3.5,11,Jayanagar,Fast Food,200.0,0
Bakers Town,Yes,3.8,77,Kumaraswamy Layout,"Cafe, Continental, Fast Food",650.0,2
Shree Mahalakshmi Sweets,Yes,3.2,8,Banashankari,"Mithai, Street Food",100.0,0
Kaapi Kendra,Yes,3.7,14,Jayanagar,South Indian,100.0,2
Ivy,Yes,3.8,210,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",600.0,2
The Airos,Yes,4.1,130,Jayanagar,"Cafe, Italian, Pizza",650.0,2
Chai Kraft,Yes,4.1,30,Jayanagar,"Beverages, Tea",100.0,2
Kirthi's Biryani,Yes,3.8,144,Banashankari,"Chinese, Cafe, Italian",700.0,2
South Point Pub,Yes,3.4,11,Basavanagudi,"North Indian, Seafood, Chinese",800.0,0
The Trundle,Yes,3.7,133,Jayanagar,"Chinese, Thai, Continental, North Indian",700.0,2
The Krishna Grand Xpress,Yes,4.0,136,Jayanagar,"South Indian, Fast Food",350.0,2
Sri Krishna Darshini,Yes,3.1,4,Basavanagudi,"South Indian, North Indian, Chinese",200.0,0
Shringar Sweets & Snacks,Yes,3.5,11,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",200.0,0
Udupi Grand,Yes,3.8,74,Basavanagudi,"South Indian, North Indian, Chinese",300.0,2
